,,2013
Burundi,108,2.5
Comoros,174,1.7
Djibouti,262,14.2
Eritrea,232,0.2
Ethiopia,231,0.8
Kenya,404,2.2
Madagascar,450,0.1
Malawi,454,1.3
Mauritius,480,3.6
Mayotte,175,32.9
Mozambique,508,0.8
Réunion,638,15.6
Rwanda,646,3.8
Seychelles,690,13.0
Somalia,706,0.2
South Sudan,728,5.6
Uganda,800,1.4
United Republic of Tanzania,834,0.6
Zambia,894,0.7
Zimbabwe,716,2.6
Angola,24,0.4
Cameroon,120,1.3
Central African Republic,140,2.9
Chad,148,3.4
Congo,178,9.7
Democratic Republic of the Congo,180,0.7
Equatorial Guinea,226,1.3
Gabon,266,23.6
Sao Tome and Principe,678,3.3
Algeria,12,0.7
Egypt,818,0.4
Libya,434,12.2
Morocco,504,0.2
Sudan,729,1.2
Tunisia,788,0.3
Western Sahara,732,0.9
Southern Africa,913,4.3
Botswana,72,7.2
Lesotho,426,0.1
Namibia,516,2.2
South Africa,710,4.5
Swaziland,748,2.0
Western Africa,914,2.0
Benin,204,2.3
Burkina Faso,854,4.1
Cape Verde,132,3.0
Côte d'Ivoire,384,12.0
Gambia,270,8.8
Ghana,288,1.4
Guinea,324,3.2
Guinea-Bissau,624,1.1
Liberia,430,5.3
Mali,466,1.3
Mauritania,478,2.3
Niger,562,0.7
Nigeria,566,0.7
Saint Helena,654,14.3
Senegal,686,1.5
Sierra Leone,694,1.6
Togo,768,3.0
Kazakhstan,398,21.1
Kyrgyzstan,417,4.1
Tajikistan,762,3.4
Turkmenistan,795,4.3
Uzbekistan,860,4.4
China,156,0.1
"China, Hong Kong Special Administrative Region",344,38.9
"China, Macao Special Administrative Region",446,58.8
Democratic People's Republic of Korea,408,0.2
Japan,392,1.9
Mongolia,496,0.6
Republic of Korea,410,2.5
Brunei Darussalam,96,49.3
Cambodia,116,0.5
Indonesia,360,0.1
Lao People's Democratic Republic,418,0.3
Malaysia,458,8.3
Myanmar,104,0.2
Philippines,608,0.2
Singapore,702,42.9
Thailand,764,5.6
Timor-Leste,626,1.0
Viet Nam,704,0.1
Afghanistan,4,0.3
Bangladesh,50,0.9
Bhutan,64,6.7
India,356,0.4
Iran (Islamic Republic of),364,3.4
Maldives,462,24.4
Nepal,524,3.5
Pakistan,586,2.2
Sri Lanka,144,1.5
Armenia,51,10.6
Azerbaijan,31,3.4
Bahrain,48,54.7
Cyprus,196,18.2
Georgia,268,4.4
Iraq,368,0.3
Israel,376,26.5
Jordan,400,40.2
Kuwait,414,60.2
Lebanon,422,17.6
Oman,512,30.6
Qatar,634,73.8
Saudi Arabia,682,31.4
State of Palestine,275,5.9
Syrian Arab Republic,760,6.4
Turkey,792,2.5
United Arab Emirates,784,83.7
Yemen,887,1.3
Belarus,112,11.6
Bulgaria,100,1.2
Czech Republic,203,4.0
Hungary,348,4.7
Poland,616,1.7
Republic of Moldova,498,11.2
Romania,642,0.9
Russian Federation,643,7.7
Slovakia,703,2.7
Ukraine,804,11.4
Channel Islands,830,51.0
Denmark,208,9.9
Estonia,233,16.3
Faeroe Islands,234,7.4
Finland,246,5.4
Iceland,352,10.4
Ireland,372,15.9
Isle of Man,833,52.0
Latvia,428,13.8
Lithuania,440,4.9
Norway,578,13.8
Sweden,752,15.9
United Kingdom of Great Britain and Northern Ireland,826,12.4
Albania,8,3.1
Andorra,20,56.9
Bosnia and Herzegovina,70,0.6
Croatia,191,17.6
Gibraltar,292,33.0
Greece,300,8.9
Holy See,336,100.0
Italy,380,9.4
Malta,470,8.0
Montenegro,499,8.2
Portugal,620,8.4
San Marino,674,15.4
Serbia,688,5.6
Slovenia,705,11.3
Spain,724,13.8
The former Yugoslav Republic of Macedonia,807,6.6
Austria,40,15.7
Belgium,56,10.4
France,250,11.6
Germany,276,11.9
Liechtenstein,438,33.1
Luxembourg,442,43.3
Monaco,492,64.2
Netherlands,528,11.7
Switzerland,756,28.9
Anguilla,660,45.6
Antigua and Barbuda,28,31.9
Aruba,533,34.9
Bahamas,44,16.3
Barbados,52,11.3
British Virgin Islands,92,32.3
Caribbean Netherlands,535,65.9
Cayman Islands,136,57.6
Cuba,192,0.1
Curaçao,531,23.2
Dominica,212,8.9
Dominican Republic,214,3.9
Grenada,308,10.7
Guadeloupe,312,20.8
Haiti,332,0.4
Jamaica,388,1.3
Martinique,474,15.0
Montserrat,500,25.9
Puerto Rico,630,8.7
Saint Kitts and Nevis,659,10.5
Saint Lucia,662,6.7
Saint Vincent and the Grenadines,670,9.4
Sint Maarten (Dutch part),534,59.7
Trinidad and Tobago,780,2.4
Turks and Caicos Islands,796,34.3
United States Virgin Islands,850,59.3
Belize,84,15.3
Costa Rica,188,8.6
El Salvador,222,0.7
Guatemala,320,0.5
Honduras,340,0.3
Mexico,484,0.9
Nicaragua,558,0.7
Panama,591,4.1
Argentina,32,4.5
Bolivia (Plurinational State of),68,1.4
Brazil,76,0.3
Chile,152,2.3
Colombia,170,0.3
Ecuador,218,2.3
Falkland Islands (Malvinas),238,64.9
French Guiana,254,41.8
Guyana,328,1.8
Paraguay,600,2.7
Peru,604,0.3
Suriname,740,7.7
Uruguay,858,2.2
Venezuela (Bolivarian Republic of),862,3.9
Bermuda,60,29.2
Canada,124,20.7
Greenland,304,10.0
Saint Pierre and Miquelon,666,16.1
United States of America,840,14.3
Australia,36,27.7
New Zealand,554,25.1
Fiji,242,2.6
New Caledonia,540,24.6
Papua New Guinea,598,0.3
Solomon Islands,90,1.4
Vanuatu,548,1.2
Guam,316,48.9
Kiribati,296,2.6
Marshall Islands,584,3.2
Micronesia (Federated States of),583,2.5
Nauru,520,20.6
Northern Mariana Islands,580,44.9
Palau,585,26.7
American Samoa,16,75.9
Cook Islands,184,15.7
French Polynesia,258,12.6
Niue,570,41.1
Samoa,882,3.0
Tokelau,772,24.9
Tonga,776,5.2
Tuvalu,798,1.5
Wallis and Futuna Islands,876,21.7
