"X","X.1","X2013","iso2","continent"
"Belarus",112,11.6,"BY","Europe"
"Bulgaria",100,1.2,"BG","Europe"
"Czech Republic",203,4,"CZ","Europe"
"Hungary",348,4.7,"HU","Europe"
"Poland",616,1.7,"PL","Europe"
"Republic of Moldova",498,11.2,"MD","Europe"
"Romania",642,0.9,"RO","Europe"
"Russian Federation",643,7.7,"RU","Europe"
"Slovakia",703,2.7,"SK","Europe"
"Ukraine",804,11.4,"UA","Europe"
"Denmark",208,9.9,"DK","Europe"
"Estonia",233,16.3,"EE","Europe"
"Faeroe Islands",234,7.4,"FO","Europe"
"Finland",246,5.4,"FI","Europe"
"Iceland",352,10.4,"IS","Europe"
"Ireland",372,15.9,"IE","Europe"
"Isle of Man",833,52,"IM","Europe"
"Latvia",428,13.8,"LV","Europe"
"Lithuania",440,4.9,"LT","Europe"
"Norway",578,13.8,"NO","Europe"
"Sweden",752,15.9,"SE","Europe"
"United Kingdom of Great Britain and Northern Ireland",826,12.4,"GB","Europe"
"Albania",8,3.1,"AL","Europe"
"Andorra",20,56.9,"AD","Europe"
"Bosnia and Herzegovina",70,0.6,"BA","Europe"
"Croatia",191,17.6,"HR","Europe"
"Gibraltar",292,33,"GI","Europe"
"Greece",300,8.9,"GR","Europe"
"Italy",380,9.4,"IT","Europe"
"Malta",470,8,"MT","Europe"
"Montenegro",499,8.2,"ME","Europe"
"Portugal",620,8.4,"PT","Europe"
"San Marino",674,15.4,"SM","Europe"
"Serbia",688,5.6,"RS","Europe"
"Slovenia",705,11.3,"SI","Europe"
"Spain",724,13.8,"ES","Europe"
"The former Yugoslav Republic of Macedonia",807,6.6,"MK","Europe"
"Austria",40,15.7,"AT","Europe"
"Belgium",56,10.4,"BE","Europe"
"France",250,11.6,"FR","Europe"
"Germany",276,11.9,"DE","Europe"
"Liechtenstein",438,33.1,"LI","Europe"
"Luxembourg",442,43.3,"LU","Europe"
"Monaco",492,64.2,"MC","Europe"
"Netherlands",528,11.7,"NL","Europe"
"Switzerland",756,28.9,"CH","Europe"
