"year","femme","homme"
1853,NA,28.5
1854,NA,28.6
1855,26.1,28.7
1856,26.2,28.7
1857,26.2,28.7
1858,26.3,28.7
1859,26.4,28.7
1860,26.3,28.7
1861,26.4,28.6
1862,26.4,28.7
1863,26.4,28.6
1864,26.4,28.6
1865,26.4,28.5
1866,26.4,28.4
1867,26.4,28.4
1868,26.4,28.5
1869,26.4,28.6
1870,26.4,28.5
1871,26.3,28.5
1872,26.2,28.5
1873,26.2,28.5
1874,26.2,28.5
1875,26.2,28.4
1876,27.1,29.3
1877,27,29.2
1878,26.8,29
1879,26.7,29
1880,26.6,28.8
1881,26.7,29
1882,26.6,28.8
1883,26.5,28.8
1884,26.5,28.8
1885,26.5,28.8
1886,26.5,28.7
1887,26.6,28.8
1888,26.6,28.7
1889,26.6,28.9
1890,26.6,28.8
1891,26.6,28.8
1892,26.6,29
1893,26.6,29
1894,26.6,29
1895,26.6,29.1
1896,26.6,28.9
1897,26.5,28.8
1898,26.5,28.8
1899,26.5,28.8
1900,26.4,28.6
1901,26.3,28.6
1902,26.4,28.7
1903,26.3,28.6
1904,26.3,28.7
1905,26.4,28.7
1906,26.3,28.6
1907,26.2,28.6
1908,26.2,28.5
1909,26.3,28.6
1910,26.3,28.6
1911,26.2,28.6
1912,26.2,28.5
1913,26.1,28.4
1914,26.2,28.5
1915,26.5,28.9
1916,26.5,28.9
1917,26.5,28.8
1918,26.4,28.7
1919,26.6,28.9
1920,26.7,28.9
1921,26.6,29
1922,26.6,29.1
1923,26.6,29.1
1924,26.6,29
1925,26.5,29
1926,26.5,28.9
1927,26.5,28.9
1928,26.5,28.8
1929,26.4,28.7
1930,26.5,28.7
1931,26.4,28.6
1932,26.4,28.6
1933,26.4,28.7
1934,26.3,28.6
1935,26.3,28.7
1936,26.3,28.8
1937,26.4,29
1938,26.4,28.9
1939,26.4,28.9
1940,26.5,28.9
1941,26.5,29
1942,26.4,29
1943,26.3,28.9
1944,26.3,28.9
1945,26.3,29
1946,26.2,28.9
1947,26.2,28.7
1948,26.1,28.7
1949,26,28.6
1950,25.9,28.5
1951,25.7,28.3
1952,25.6,28.2
1953,25.6,28.1
1954,25.5,28.1
1955,25.4,28
1956,25.3,27.9
1957,25.2,27.6
1958,25,27.5
1959,25,27.6
1960,24.9,27.5
1961,24.9,27.3
1962,24.8,27.3
1963,24.7,27.1
1964,24.7,27.1
1965,24.6,27
1966,24.5,26.9
1967,24.4,26.8
1968,24.3,26.7
1969,24.3,26.6
1970,24.1,26.5
1971,24.1,26.4
1972,24.1,26.4
1973,24.2,26.5
1974,24.2,26.5
1975,24.3,26.6
1976,24.4,26.7
1977,24.6,27
1978,24.7,27.1
1979,24.8,27.3
1980,25,27.4
1981,25.1,27.5
1982,25.3,27.7
1983,25.5,27.9
1984,25.8,28.1
1985,26,28.4
1986,26.2,28.6
1987,26.4,28.8
1988,26.6,28.9
1989,26.7,29
1990,26.7,29.1
1991,26.8,29.2
1992,26.8,29.2
1993,27,29.3
1994,27.2,29.6
1995,27.3,29.7
1996,27.3,29.7
1997,27.4,29.8
1998,27.6,30
1999,27.7,30.3
2000,27.9,30.3
2001,28,30.4
2002,28.1,30.5
2003,28.4,30.6
2004,28.6,30.8
2005,28.7,31
2006,28.7,31
2007,28.9,31.2
2008,29.1,31.4
2009,29.2,31.5
2010,29.4,31.6
2011,29.5,31.8
2012,29.5,31.7
