"","iso2c","country","value","year","iso3c","region","capital","longitude","latitude","income","lending","indicator"
"312","AD","Andorra",NA,1960,"AND","Europe & Central Asia (all income levels)","Andorra la Vella","1.5218","42.5075","High income: nonOECD","Not classified","lifeExpectancy"
"391","AF","Afghanistan",31.5800487804878,1960,"AFG","South Asia","Kabul","69.1761","34.5228","Low income","IDA","lifeExpectancy"
"473","AG","Antigua and Barbuda",61.7827317073171,1960,"ATG","Latin America & Caribbean (all income levels)","Saint John's","-61.8456","17.1175","Upper middle income","IBRD","lifeExpectancy"
"537","AL","Albania",62.2543658536585,1960,"ALB","Europe & Central Asia (all income levels)","Tirane","19.8172","41.3317","Upper middle income","IBRD","lifeExpectancy"
"581","AM","Armenia",65.8634634146342,1960,"ARM","Europe & Central Asia (all income levels)","Yerevan","44.509","40.1596","Lower middle income","Blend","lifeExpectancy"
"634","AO","Angola",32.9848292682927,1960,"AGO","Sub-Saharan Africa (all income levels)","Luanda","13.242","-8.81155","Lower middle income","IDA","lifeExpectancy"
"688","AR","Argentina",65.2155365853659,1960,"ARG","Latin America & Caribbean (all income levels)","Buenos Aires","-58.4173","-34.6118","Upper middle income","IBRD","lifeExpectancy"
"742","AS","American Samoa",NA,1960,"ASM","East Asia & Pacific (all income levels)","Pago Pago","-170.691","-14.2846","Upper middle income","Not classified","lifeExpectancy"
"769","AT","Austria",68.5856097560976,1960,"AUT","Europe & Central Asia (all income levels)","Vienna","16.3798","48.2201","High income: OECD","Not classified","lifeExpectancy"
"853","AU","Australia",70.8170731707317,1960,"AUS","East Asia & Pacific (all income levels)","Canberra","149.129","-35.282","High income: OECD","Not classified","lifeExpectancy"
"877","AW","Aruba",65.5693658536586,1960,"ABW","Latin America & Caribbean (all income levels)","Oranjestad","-70.0167","12.5167","High income: nonOECD","Not classified","lifeExpectancy"
"958","AZ","Azerbaijan",60.836243902439,1960,"AZE","Europe & Central Asia (all income levels)","Baku","49.8932","40.3834","Upper middle income","IBRD","lifeExpectancy"
