"TIME","GEO","AGE","SEX","Value","Flag and Footnotes"
"1960","Union européenne (28 pays)","Total","Total","406.731.754",""
"1961","Union européenne (28 pays)","Total","Total",":",""
"1962","Union européenne (28 pays)","Total","Total",":",""
"1963","Union européenne (28 pays)","Total","Total",":",""
"1964","Union européenne (28 pays)","Total","Total",":",""
"1965","Union européenne (28 pays)","Total","Total","424.721.157",""
"1966","Union européenne (28 pays)","Total","Total",":",""
"1967","Union européenne (28 pays)","Total","Total",":",""
"1968","Union européenne (28 pays)","Total","Total",":",""
"1969","Union européenne (28 pays)","Total","Total",":",""
"1970","Union européenne (28 pays)","Total","Total","439.872.955",""
"1971","Union européenne (28 pays)","Total","Total","441.729.990",""
"1972","Union européenne (28 pays)","Total","Total",":",""
"1973","Union européenne (28 pays)","Total","Total",":",""
"1974","Union européenne (28 pays)","Total","Total",":",""
"1975","Union européenne (28 pays)","Total","Total","451.835.013",""
"1976","Union européenne (28 pays)","Total","Total","454.035.014",""
"1977","Union européenne (28 pays)","Total","Total","455.996.863",""
"1978","Union européenne (28 pays)","Total","Total","457.977.630",""
"1979","Union européenne (28 pays)","Total","Total","459.995.862",""
"1980","Union européenne (28 pays)","Total","Total","461.646.698",""
"1981","Union européenne (28 pays)","Total","Total","463.713.423",""
"1982","Union européenne (28 pays)","Total","Total","465.181.776",""
"1983","Union européenne (28 pays)","Total","Total","466.361.434",""
"1984","Union européenne (28 pays)","Total","Total","467.320.189",""
"1985","Union européenne (28 pays)","Total","Total","468.334.305",""
"1986","Union européenne (28 pays)","Total","Total","469.448.581",""
"1987","Union européenne (28 pays)","Total","Total","470.780.512",""
"1988","Union européenne (28 pays)","Total","Total","472.022.616",""
"1989","Union européenne (28 pays)","Total","Total","473.666.003",""
"1990","Union européenne (28 pays)","Total","Total","475.160.781",""
"1991","Union européenne (28 pays)","Total","Total","476.749.614",""
"1992","Union européenne (28 pays)","Total","Total","477.823.590",""
"1993","Union européenne (28 pays)","Total","Total","479.412.343",""
"1994","Union européenne (28 pays)","Total","Total","480.695.742",""
"1995","Union européenne (28 pays)","Total","Total","481.659.499",""
"1996","Union européenne (28 pays)","Total","Total","482.437.319",""
"1997","Union européenne (28 pays)","Total","Total","483.174.847",""
