ID,Nom,Habitants par km² de surface totale,Population
1,Aeugst am Albis,81.8,647
10,Obfelden,118.7,896
100,Stadel,112.6,1452
1001,Doppleschwand,95.8,668
1002,Entlebuch,54.2,3085
1003,Escholzmatt,54.6,3348
1004,Flühli,15.6,1691
1005,Hasle (LU),38.9,1567
1006,Marbach (LU),41,1850
1007,Romoos,43.7,1629
1008,Schüpfheim,81.4,3125
1009,Werthenstein,112.2,1769
101,Steinmaur,98.4,925
102,Weiach,74.9,716
1021,Aesch (LU),182.7,844
1022,Altwis,127.4,372
1023,Ballwil,114.7,1004
1024,Emmen,86.8,1764
1025,Ermensee,125,709
1026,Eschenbach (LU),92.9,1229
1030,Hitzkirch,119.6,2954
1031,Hochdorf,142.4,1370
1032,Hohenrain,96.9,2252
1033,Inwil,79.2,817
1037,Rain,92.8,872
1039,Römerswil,87.5,1451
1040,Rothenburg,86.1,1341
1041,Schongau,86.5,1077
1051,Adligenswil,87,608
1052,Buchrain,64.9,312
1053,Dierikon,109.4,304
1054,Ebikon,88.2,854
1055,Gisikon,141.7,153
1056,Greppen,86.5,287
1057,Honau,96,120
1058,Horw,97.7,1254
1059,Kriens,98.5,2693
1061,Luzern,391.7,11382
1062,Malters,123.1,3524
1063,Meggen,120.1,874
1064,Meierskappel,78.8,535
1065,Root,120.6,1044
1066,Schwarzenberg,35,1375
1067,Udligenswil,83.8,522
1068,Vitznau,65,579
1069,Weggis,108.2,1279
1081,Beromünster,107.1,3143
1082,Büron,213.9,1157
1083,Buttisholz,111.1,1860
1084,Eich,92.8,551
1085,Geuensee,119.4,770
1086,Grosswangen,138.2,2724
1088,Hildisrieden,94.5,666
1089,Knutwil,135.3,1316
1091,Mauensee,88.3,632
1092,Neudorf,66.4,850
1093,Neuenkirch,94.7,2413
1094,Nottwil,117.8,1212
1095,Oberkirch,125.4,1141
1096,Pfeffikon,199.2,496
1097,Rickenbach (LU),113.1,1060
1098,Ruswil,96,4340
1099,Schenkon,100.2,671
11,Ottenbach,233.3,1169
1100,Schlierbach,91.1,653
1102,Sempach,121.9,1086
1103,Sursee,277.7,1627
1104,Triengen,162.3,3581
1107,Wolhusen,111.9,1600
111,Bäretswil,145.9,3237
112,Bubikon,137.2,1591
1121,Alberswil,121.5,429
1122,Altbüron,175.2,1184
1123,Altishofen,154.9,892
1125,Dagmersellen,137.7,3291
1126,Ebersecken,68.1,583
1127,Egolzwil,138.1,576
1128,Ettiswil,118.3,1487
1129,Fischbach,99.5,801
113,Dürnten,162.7,1663
1130,Gettnau,110.5,671
1131,Grossdietwil,126.8,1292
1132,Hergiswil bei Willisau,79.4,2487
1135,Luthern,53,2002
1136,Menznau,77,2337
1137,Nebikon,155,578
1138,Ohmstal,93.5,416
1139,Pfaffnau,107,1885
114,Fischenthal,79.1,2394
1140,Reiden,124.7,3366
1142,Roggliswil,141.6,879
1143,Schötz,134.3,1462
1145,Ufhusen,81.9,1003
1146,Wauwil,165.7,487
1147,Wikon,115,952
115,Gossau (ZH),169.1,3089
1150,Zell (LU),97.5,1355
1151,Willisau,106.8,4392
116,Grüningen,192.8,1695
117,Hinwil,120.9,2697
118,Rüti (ZH),128.4,1292
119,Seegräben,100.5,379
12,Rifferswil,71.3,464
120,Wald (ZH),150.8,3808
1201,Altdorf (UR),206.9,2112
1202,Andermatt,10.9,677
1203,Attinghausen,11,516
1204,Bauen,46.3,175
1205,Bürglen (UR),24.4,1294
1206,Erstfeld,15.5,916
1207,Flüelen,48.3,600
1208,Göschenen,6.7,–
1209,Gurtnellen,8.1,675
121,Wetzikon (ZH),200.8,3364
1210,Hospental,12.1,424
1211,Isenthal,8.2,502
