ID,Nom,Habitants par km² de surface productive,Population
1,Aeugst am Albis,264.3,1972
10,Obfelden,679.7,4867
100,Stadel,158.8,2029
1001,Doppleschwand,109.9,746
1002,Entlebuch,60.1,3290
1004,Flühli,20.3,1874
1005,Hasle (LU),46.8,1732
1007,Romoos,18.3,674
1008,Schüpfheim,108.8,4093
1009,Werthenstein,131.1,2007
101,Steinmaur,356.4,3354
1010,Escholzmatt-Marbach,42.1,4323
102,Weiach,116.4,1077
1021,Aesch (LU),225.6,1013
1022,Altwis,140,406
1023,Ballwil,300.1,2611
1024,Emmen,1452.1,28926
1025,Ermensee,154.6,875
1026,Eschenbach (LU),272.5,3553
1030,Hitzkirch,201.7,4942
1031,Hochdorf,963.1,9101
1032,Hohenrain,106.9,2490
1033,Inwil,235.6,2387
1037,Rain,267,2515
1039,Römerswil,100.1,1658
1040,Rothenburg,468.5,7238
1041,Schongau,78.8,977
1051,Adligenswil,788.2,5399
1052,Buchrain,1389.8,6143
1053,Dierikon,529.7,1462
1054,Ebikon,1400.2,12602
1055,Gisikon,1079.8,1123
1056,Greppen,318,1043
1057,Honau,308.2,376
1058,Horw,1084.1,13790
1059,Kriens,997.7,26957
1061,Luzern,2828.6,80501
1062,Malters,246,6911
1063,Meggen,932.7,6762
1064,Meierskappel,203.9,1374
1065,Root,566.6,4669
1066,Schwarzenberg,45.6,1682
1067,Udligenswil,351.8,2174
1068,Vitznau,146.8,1249
1069,Weggis,365.1,4242
1081,Beromünster,145.7,6112
1082,Büron,430.2,2280
1083,Buttisholz,201.5,3307
1084,Eich,287.9,1696
1085,Geuensee,408.2,2625
1086,Grosswangen,158.2,3097
1088,Hildisrieden,288.3,2015
1089,Knutwil,213.9,2090
1091,Mauensee,174.6,1156
1093,Neuenkirch,251.9,6391
1094,Nottwil,336.5,3432
1095,Oberkirch,433.4,3892
1097,Rickenbach (LU),261.3,3076
1098,Ruswil,150,6763
1099,Schenkon,408.9,2744
11,Ottenbach,519.5,2483
1100,Schlierbach,107.8,778
1102,Sempach,469.9,4149
1103,Sursee,1582,9160
1104,Triengen,202.4,4450
1107,Wolhusen,302,4237
111,Bäretswil,227.2,4914
112,Bubikon,634.3,6933
1121,Alberswil,172.1,604
1122,Altbüron,145.3,979
1123,Altishofen,276.4,1570
1125,Dagmersellen,216.8,5095
1126,Ebersecken,47.2,402
1127,Egolzwil,322.6,1329
1128,Ettiswil,204.8,2535
1129,Fischbach,88.4,709
113,Dürnten,713.8,7181
1130,Gettnau,173.4,1035
1131,Grossdietwil,81.8,836
1132,Hergiswil bei Willisau,59.9,1860
1135,Luthern,35.6,1330
1136,Menznau,96.2,2892
1137,Nebikon,669.9,2472
1139,Pfaffnau,129.7,2260
114,Fischenthal,78.1,2326
1140,Reiden,251.9,6763
1142,Roggliswil,102.4,635
1143,Schötz,260.5,3942
1145,Ufhusen,70.5,862
1146,Wauwil,637.4,1874
1147,Wikon,174.1,1440
115,Gossau (ZH),534.3,9714
1150,Zell (LU),147.6,2031
1151,Willisau,185,7554
116,Grüningen,381.7,3283
117,Hinwil,490.9,10751
118,Rüti (ZH),1212.6,11993
119,Seegräben,435.6,1333
12,Rifferswil,149.1,959
120,Wald (ZH),373.8,9346
1201,Altdorf (UR),897.3,9000
1202,Andermatt,46.8,1393
1203,Attinghausen,62.2,1592
1204,Bauen,50,172
1205,Bürglen (UR),97.5,3954
1206,Erstfeld,142.3,3804
1207,Flüelen,180.8,1985
1208,Göschenen,20.9,440
1209,Gurtnellen,16.4,571
121,Wetzikon (ZH),1631.8,23726
1210,Hospental,13.5,202
1211,Isenthal,15.2,519
1212,Realp,4.5,148
1213,Schattdorf,356.7,5005
1214,Seedorf (UR),181.2,1834
